баба му	старата му мотористка
Баба му	Старата му мотористка
баба си	старата си мотористка
Баба си	Старата си мотористка
баба	старата мотористка
Баба	Старата мотористка
Баба	Старата мотористка
бабата	старата мотористка
Бабата	Старата мотористка
бабо	стара мотористке
Бабо	Стара мотористке
вино	бира Козел
Вино	Бира Козел
вълкът	Катаджията
Вълкът	Катаджията
Добро утро	Ко'стаа, шефе
Добър ден	Здраве желаем
козунак	чипс
Козунак	Чипс
Кумчо Вълчо	Катаджийо
момиченце	непълнолетно мотористче
Червената шапчица	Кървавата каска
Червена шапчице	Кървава каске
шапчица	каска
Шапчица	Каска
